"Choose a valid rating.","Bitte wählen Sie eine gültige Bewertung."
"That response is no longer available.","Diese Antwort ist nicht mehr verfügbar."
"Please wait before rating another response.","Bitte warten Sie, bevor Sie eine weitere Antwort bewerten."
"The rating could not be saved.","Die Bewertung konnte nicht gespeichert werden."
"The conversation could not be verified.","Die Unterhaltung konnte nicht verifiziert werden."
"A support request was recently created. Please wait before creating another one.","Vor Kurzem wurde bereits eine Supportanfrage erstellt. Bitte warten Sie, bevor Sie eine weitere erstellen."
"Describe what you need help with.","Beschreiben Sie bitte, wobei Sie Hilfe benötigen."
"Support request %1 was created. A team member can continue from this conversation.","Die Supportanfrage %1 wurde erstellt. Ein Teammitglied kann diese Unterhaltung fortsetzen."
"Human support handoff is currently unavailable.","Die Übergabe an den Support ist derzeit nicht verfügbar."
"Store knowledge search is disabled.","Die Suche in den Shopinformationen ist deaktiviert."
"What store policy or help topic should I look up?","Nach welcher Shoprichtlinie oder welchem Hilfethema soll ich suchen?"
"Information retrieved from this store's CMS content.","Informationen aus den CMS-Inhalten dieses Shops."
"Please explicitly confirm that you want to cancel this order.","Bitte bestätigen Sie ausdrücklich, dass Sie diese Bestellung stornieren möchten."
"This order can no longer be cancelled automatically.","Diese Bestellung kann nicht mehr automatisch storniert werden."
"Order %1 was cancelled.","Die Bestellung %1 wurde storniert."
"The order could not be cancelled.","Die Bestellung konnte nicht storniert werden."
"Tell me why you want to return the item.","Bitte teilen Sie mir mit, warum Sie den Artikel zurücksenden möchten."
"Your Store Assistant chat data was deleted.","Ihre Chatdaten des Store Assistant wurden gelöscht."
"Type DELETE to confirm.","Geben Sie zur Bestätigung DELETE ein."
"Store Assistant Support Cases","Supportfälle des Store Assistant"
"Assign to me / In progress","Mir zuweisen / In Bearbeitung"
"Waiting for customer","Warten auf Kunden"
"Resolve","Lösen"
"Close","Schließen"
"Please sign in to receive a back-in-stock notification.","Bitte melden Sie sich an, um eine Benachrichtigung bei Wiederverfügbarkeit zu erhalten."
"Back-in-stock notifications are currently unavailable.","Benachrichtigungen bei Wiederverfügbarkeit sind derzeit nicht verfügbar."
"You are already subscribed to this product.","Sie haben dieses Produkt bereits abonniert."
"We will email you when this product is back in stock.","Wir senden Ihnen eine E-Mail, sobald dieses Produkt wieder verfügbar ist."
"Guest checkout","Gast-Bestellung"
"Human support","Kundensupport"
"Verify your email","E-Mail bestätigen"
"Email verified","E-Mail bestätigt"
"Verification expired","Bestätigung abgelaufen"
"Enter the email used at checkout. We’ll send a code before showing order information.","Geben Sie die beim Checkout verwendete E-Mail-Adresse ein. Wir senden Ihnen einen Code, bevor Bestelldetails angezeigt werden."
"Verify your contact email so a team member can reply safely in this conversation.","Bestätigen Sie Ihre Kontakt-E-Mail, damit ein Teammitglied sicher in dieser Unterhaltung antworten kann."
"Checkout email","Checkout-E-Mail"
"Contact email","Kontakt-E-Mail"
"Send code","Code senden"
"Sending…","Wird gesendet…"
"Verification code","Bestätigungscode"
"Enter the six-digit code sent to","Geben Sie den sechsstelligen Code ein, der an folgende Adresse gesendet wurde:"
"The code expires after 10 minutes.","Der Code läuft nach 10 Minuten ab."
"Use another email","Andere E-Mail verwenden"
"Verify","Bestätigen"
"Verifying…","Wird bestätigt…"
"Your email is verified. Your pending order request will continue automatically.","Ihre E-Mail ist bestätigt. Ihre ausstehende Bestellanfrage wird automatisch fortgesetzt."
"Your email is verified. Select an existing ticket or start a new private conversation with support.","Ihre E-Mail ist bestätigt. Wählen Sie ein Support-Ticket aus oder starten Sie eine neue Unterhaltung."
"This verification form expired after 15 minutes. Ask the assistant to open a new secure form.","Dieses Bestätigungsformular ist nach 15 Minuten abgelaufen. Bitten Sie den Assistenten um ein neues Formular."
"Update order address","Lieferadresse aktualisieren"
"Default billing & shipping","Standard Rechnungs- & Lieferadresse"
"Address updated","Adresse aktualisiert"
"Address form expired","Adressformular abgelaufen"
"Shipping","Lieferung"
"Billing","Rechnung"
"Save address","Adresse speichern"
"Saving…","Wird gespeichert…"
"Sent an image","Bild gesendet"
"Sent %1 images","%1 Bilder gesendet"
"Analyze this image and recommend relevant products from the store if applicable.","Analysieren Sie dieses Bild und empfehlen Sie gegebenenfalls passende Produkte aus dem Shop."
"Upload attachment failed. Please try sending the image again.","Hochladen des Anhangs fehlgeschlagen. Bitte versuchen Sie erneut, das Bild zu senden."
"Product Image","Produktbild"
"Image will be sent again","Bild wird erneut gesendet"
"%1 images will be sent again","%1 Bilder werden erneut gesendet"
"Edit message","Nachricht bearbeiten"
"Cancel","Abbrechen"
"Send","Senden"
"Save","Speichern"
"Continue response","Antwort fortsetzen"
"You stopped after %1s","Sie haben nach %1 Sek. abgebrochen"
"Add to Cart","In den Warenkorb"
"Choose options","Optionen wählen"
"Showing all %1 products","Alle %1 Produkte werden angezeigt"
"Showing %1 of %2 matching products","%1 von %2 passenden Produkten werden angezeigt"
"Show %1 more","Weitere %1 anzeigen"
"Loading products…","Produkte werden geladen…"
"View category","Kategorie ansehen"
"More products are unavailable","Weitere Produkte sind nicht verfügbar"
"The secure chat connection is reconnecting. Please try again in a moment.","Die sichere Chat-Verbindung wird wiederhergestellt. Bitte versuchen Sie es gleich noch einmal."
"More products could not be loaded","Weitere Produkte konnten nicht geladen werden"
"Could not load more products. Please try again.","Weitere Produkte konnten nicht geladen werden. Bitte versuchen Sie es erneut."
